;;;;;;;;;;;;;;;;;;;;;;
Día;Línea de servicio;Hora de operación;;;;;;;;;;;;;;;;;;;;
;;4:00;5:00;6:00;7:00;8:00;9:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00;Total general (Número de pasajeros)
13/01/2021;LÍNEA H;149;335;224;154;118;74;82;67;48;59;45;53;50;56;47;27;22;10;3;;1.623
13/01/2021;LÍNEA O;92;502;703;563;336;285;242;219;239;258;257;294;488;672;517;420;224;248;76;9;6.644
14/01/2021;LÍNEA A;11.324;29.311;37.602;29.366;19.016;16.123;14.608;14.751;16.197;15.839;20.475;22.147;35.229;48.705;37.955;20.786;13.455;11.031;3.414;4;417.338
14/01/2021;LÍNEA B;2.111;4.881;5.485;4.437;3.056;2.463;2.395;2.249;2.282;2.278;2.530;2.887;4.048;6.058;4.571;2.571;1.977;1.467;385;;58.131
14/01/2021;LÍNEA K;1.555;2.141;1.997;1.535;1.099;877;780;741;862;620;600;564;686;690;478;367;396;166;29;1;16.184
14/01/2021;LÍNEA J;805;1.503;1.488;1.153;763;602;439;452;461;379;389;364;459;480;332;242;223;90;6;1;10.631
14/01/2021;LÍNEA L;;;;;2;95;94;113;98;68;86;76;126;180;1;;;;;;939
14/01/2021;LÍNEA 1;2.062;5.145;6.397;5.569;3.872;3.313;2.920;2.678;2.780;2.646;3.359;3.676;5.004;6.797;5.557;3.316;2.362;1.766;620;16;69.855
14/01/2021;LÍNEA 2;88;375;484;475;352;398;403;446;476;425;491;621;870;1.112;932;580;361;231;71;1;9.192
14/01/2021;LÍNEA T-A;840;2.150;2.746;2.232;1.567;1.189;1.245;1.195;1.394;1.294;1.538;1.714;2.398;3.409;3.251;1.989;1.408;1.080;491;6;33.136
14/01/2021;LÍNEA M;219;510;560;393;210;169;175;175;221;191;249;313;445;611;886;488;313;208;152;7;6.495
14/01/2021;LÍNEA H;140;325;246;170;119;80;61;82;60;50;39;30;52;43;32;31;34;8;3;;1.605
14/01/2021;LÍNEA O;102;458;744;598;371;293;221;244;245;256;307;316;480;685;600;370;270;210;63;2;6.835
15/01/2021;LÍNEA A;11.391;29.360;37.322;29.102;19.256;16.571;14.708;14.375;16.334;16.387;22.017;25.343;38.774;50.212;43.202;28.292;12.215;7.751;2.601;8;435.221
15/01/2021;LÍNEA B;2.118;4.937;5.470;4.497;3.100;2.537;2.462;2.214;2.362;2.356;2.716;3.309;4.636;6.174;5.325;3.776;1.749;630;204;1;60.573
15/01/2021;LÍNEA K;1.512;2.145;1.999;1.609;1.141;916;839;794;984;738;702;684;750;731;493;464;343;101;32;;16.977
15/01/2021;LÍNEA J;829;1.620;1.455;1.233;739;581;466;474;557;402;360;387;504;527;432;275;114;49;7;;11.011
15/01/2021;LÍNEA L;;;;;2;109;115;93;113;86;107;93;134;122;4;;;;;;978
15/01/2021;LÍNEA 1;1.993;5.201;6.396;5.621;3.704;3.276;2.814;2.687;2.868;2.761;3.650;4.133;5.333;6.957;6.146;4.539;1.950;907;461;6;71.403
15/01/2021;LÍNEA 2;74;390;523;454;380;408;430;439;468;419;545;732;895;976;1.003;787;271;104;30;;9.328
15/01/2021;LÍNEA T-A;797;2.170;2.741;2.203;1.610;1.285;1.247;1.263;1.374;1.271;1.601;1.852;2.383;3.281;3.158;2.461;1.358;694;342;8;33.099
15/01/2021;LÍNEA M;214;566;536;366;209;176;146;167;199;200;205;326;416;651;741;326;650;178;107;12;6.391
15/01/2021;LÍNEA H;150;354;245;150;116;64;60;76;55;48;52;47;64;49;44;32;11;6;2;;1.625
15/01/2021;LÍNEA O;112;467;800;592;338;310;254;237;243;258;319;328;514;687;588;407;231;107;35;1;6.828
16/01/2021;LÍNEA A;8.365;19.116;19.621;14.165;8.620;6.390;6.508;7.575;15.287;17.560;17.762;13.251;14.698;13.481;9.686;5.549;3.854;3.858;1.071;;206.417
16/01/2021;LÍNEA B;1.396;3.139;2.896;1.972;1.177;825;850;816;1.364;1.779;1.583;1.346;1.607;1.196;1.049;653;401;332;97;;24.478
16/01/2021;LÍNEA K;1.135;1.665;1.313;798;515;458;344;392;525;322;266;301;391;292;228;235;176;63;14;;9.433
16/01/2021;LÍNEA J;676;988;828;501;334;252;214;220;308;213;160;204;242;180;161;115;86;45;10;;5.737
16/01/2021;LÍNEA 1;1.498;3.381;3.283;2.600;1.504;1.144;1.070;1.128;2.188;2.285;2.634;1.914;2.043;1.795;1.498;991;652;507;192;2;32.309
16/01/2021;LÍNEA 2;54;269;261;230;144;168;160;192;292;263;327;174;197;189;145;82;67;61;20;2;3.297
