Día;Línea de Servicio;Hora de operación;;;;;;;;;;;;;;;;;;;;
;;4:00;5:00;6:00;7:00;8:00;9:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00;Total general (Número de pasajeros)
5/01/2022;LÍNEA P;725;1.371;1.571;1.152;741;510;534;501;615;505;459;456;478;587;481;324;295;130;87;1;11.523
5/01/2022;LÍNEA T-A;872;2.109;2.987;2.453;1.727;1.560;1.602;1.620;1.779;1.573;1.917;2.154;2.785;3.705;3.371;2.102;1.500;1.083;835;33;37.767
6/01/2022;LÍNEA 1;2.145;5.091;6.921;6.304;4.274;3.856;3.507;3.420;3.478;3.491;4.061;4.025;5.884;8.021;6.049;3.429;2.085;1.966;1.059;28;79.094
6/01/2022;LÍNEA 2;129;489;664;672;512;575;643;741;730;766;768;926;1.321;1.847;1.509;803;351;382;129;2;13.959
6/01/2022;LÍNEA A;11.506;27.619;37.002;30.064;20.904;19.122;18.410;19.396;20.139;20.190;25.280;23.897;27.768;40.766;41.531;21.746;12.722;11.985;6.296;40;436.383
6/01/2022;LÍNEA B;2.134;4.478;5.788;5.045;3.390;3.322;3.297;3.423;3.336;3.327;3.984;3.642;5.095;7.145;5.099;2.635;1.666;1.304;744;19;68.873
6/01/2022;LÍNEA H;111;294;318;201;113;72;108;104;93;68;45;47;70;56;35;28;35;10;3;;1.811
6/01/2022;LÍNEA J;824;1.688;1.702;1.467;965;727;657;672;697;579;569;359;505;475;304;250;205;76;31;;12.752
6/01/2022;LÍNEA K;1.746;2.748;2.393;1.917;1.447;1.210;1.098;1.060;1.245;1.110;1.040;904;1.040;741;610;393;404;247;57;1;21.411
6/01/2022;LÍNEA L;;;;;6;273;407;476;505;388;421;523;297;100;;;;;;;3.396
6/01/2022;LÍNEA M;209;563;569;395;260;233;219;240;260;226;241;267;398;494;835;555;251;184;190;33;6.622
6/01/2022;LÍNEA O;140;558;861;797;457;387;340;357;343;367;465;405;654;968;746;437;307;303;147;9;9.048
6/01/2022;LÍNEA P;710;1.330;1.524;1.108;721;561;549;496;593;515;437;274;363;515;365;255;192;96;56;;10.660
6/01/2022;LÍNEA T-A;849;2.149;2.940;2.418;1.722;1.571;1.452;1.596;1.720;1.504;1.847;1.943;2.208;2.833;3.734;2.010;1.248;1.048;753;35;35.580
7/01/2022;LÍNEA 1;2.057;5.002;7.008;6.232;4.200;3.775;3.477;3.484;3.613;3.668;4.491;4.662;5.746;6.955;5.496;3.517;2.329;2.107;1.224;40;79.083
7/01/2022;LÍNEA 2;95;492;659;630;499;616;675;734;710;802;967;1.110;1.217;1.475;1.229;799;425;386;184;6;13.710
7/01/2022;LÍNEA A;10.950;27.287;36.741;29.845;20.388;19.056;18.511;19.432;21.029;21.436;28.308;30.092;39.337;49.402;36.713;22.877;15.056;13.111;7.924;47;467.542
7/01/2022;LÍNEA B;2.121;4.403;5.655;4.887;3.402;3.213;3.518;3.358;3.409;3.528;3.813;3.480;5.247;6.371;4.854;2.733;2.012;1.396;808;16;68.224
7/01/2022;LÍNEA H;101;295;316;189;124;106;121;90;105;90;73;41;75;49;46;48;30;19;3;;1.921
7/01/2022;LÍNEA J;788;1.620;1.736;1.407;934;778;670;715;695;632;425;411;481;421;380;324;242;113;24;3;12.799
7/01/2022;LÍNEA K;1.719;2.705;2.452;2.066;1.394;1.234;1.147;1.081;1.315;1.069;1.082;490;1.067;828;603;537;512;243;81;2;21.627
7/01/2022;LÍNEA L;;;;;13;152;292;517;452;382;361;100;470;109;7;;;;;;2.855
