Día;Línea de Servicio;Hora de operación;;;;;;;;;;;;;;;;;;;;
;;4:00:00 a/ m/;5:00:00 a/ m/;6:00:00 a/ m/;7:00:00 a/ m/;8:00:00 a/ m/;9:00:00 a/ m/;10:00:00 a/ m/;11:00:00 a/ m/;12:00:00 p/ m/;1:00:00 p/ m/;2:00:00 p/ m/;3:00:00 p/ m/;4:00:00 p/ m/;5:00:00 p/ m/;6:00:00 p/ m/;7:00:00 p/ m/;8:00:00 p/ m/;9:00:00 p/ m/;10:00:00 p/ m/;11:00:00 p/ m/;Total general (Número de pasajeros)
11/08/2024;LÍNEA 1;522;1.586;1.812;2.038;1.979;2.601;3.080;3.033;3.277;3.531;2.947;2.490;2.918;3.065;2.804;2.372;2.363;1.524;205;;44.147
11/08/2024;LÍNEA 2;20;188;208;287;263;392;548;422;593;579;472;457;481;610;747;605;430;217;35;;7.554
11/08/2024;LÍNEA A;3.978;10.418;11.901;11.790;11.433;14.263;17.765;19.040;20.821;23.471;21.835;16.701;19.297;23.908;22.893;16.945;15.502;10.376;761;;293.098
11/08/2024;LÍNEA B;754;1.597;1.764;1.824;2.078;2.905;3.279;3.531;3.634;4.234;4.073;2.956;3.130;4.063;4.037;3.056;2.107;1.602;167;;50.791
11/08/2024;LÍNEA H;;;;;;143;106;92;109;107;77;60;63;77;71;73;55;14;;;1.047
11/08/2024;LÍNEA J;;;;;44;910;827;792;811;829;695;599;667;621;581;424;391;206;5;;8.402
11/08/2024;LÍNEA K;;;;;520;987;1.017;1.165;1.291;1.234;631;738;1.355;968;783;715;586;287;21;;12.298
11/08/2024;LÍNEA L;;;;;46;223;329;360;387;342;271;261;230;193;;;;;;;2.642
11/08/2024;LÍNEA M;;;;;6;301;294;308;381;350;337;359;377;374;422;398;374;293;94;;4.668
11/08/2024;LÍNEA O;29;338;273;356;271;313;362;354;326;391;429;334;459;473;472;443;430;322;48;;6.423
11/08/2024;LÍNEA P;;;;;16;813;777;794;890;964;522;464;606;638;502;439;441;209;10;;8.085
11/08/2024;LÍNEA T-A;149;741;1.027;957;1.051;1.364;1.694;1.644;1.847;2.024;1.735;1.654;1.761;2.012;2.093;1.741;1.558;1.231;238;;26.521
12/08/2024;LÍNEA 1;3.048;8.751;10.612;9.731;5.956;5.206;4.445;4.880;5.053;5.121;5.471;6.018;8.408;11.193;7.721;5.319;3.611;2.438;1.236;22;114.240
12/08/2024;LÍNEA 2;186;882;1.090;1.004;912;957;991;1.114;1.167;1.137;1.262;1.477;2.119;2.073;1.985;1.501;920;511;185;7;21.480
12/08/2024;LÍNEA A;17.271;49.736;63.484;54.205;32.912;27.921;24.791;26.625;29.942;29.371;34.671;37.271;61.827;84.828;33.411;31.430;22.212;16.444;8.120;33;686.505
12/08/2024;LÍNEA B;3.285;8.257;9.144;8.218;5.237;4.805;4.227;4.534;5.450;4.807;4.796;5.580;7.904;11.176;6.724;5.136;3.213;2.374;1.057;8;105.932
12/08/2024;LÍNEA H;244;630;496;273;172;132;94;128;114;107;63;66;84;53;49;29;43;8;4;;2.789
12/08/2024;LÍNEA J;1.529;2.538;2.378;2.225;1.308;924;749;818;899;655;500;591;717;587;373;309;245;98;31;;17.474
12/08/2024;LÍNEA K;2.315;2.900;2.671;2.107;1.594;1.180;1.001;1.066;1.321;916;660;799;953;880;641;439;487;190;64;2;22.186
12/08/2024;LÍNEA M;398;1.007;954;666;422;294;321;298;474;325;400;486;756;1.027;1.167;668;585;321;300;35;10.904
12/08/2024;LÍNEA O;273;1.734;1.738;1.948;979;1.135;884;956;1.032;1.080;924;1.105;1.585;2.006;1.477;1.302;964;1.011;269;5;22.407
12/08/2024;LÍNEA P;1.361;3.288;3.219;2.091;1.203;947;761;1.353;1.228;802;625;704;905;1.366;652;387;580;508;112;3;22.095
12/08/2024;LÍNEA T-A;1.436;4.463;4.969;4.705;2.953;2.487;2.280;2.622;3.250;2.732;2.852;3.176;4.607;5.719;4.603;3.092;2.492;1.992;1.074;35;61.539
13/08/2024;LÍNEA 1;3.042;9.126;11.156;10.149;6.232;5.386;4.334;4.806;5.050;4.985;5.527;5.940;8.808;11.155;7.699;4.830;3.320;2.610;1.414;36;115.605
13/08/2024;LÍNEA 2;205;929;1.145;1.115;914;914;1.027;1.125;1.213;1.051;1.326;1.441;2.076;2.122;1.867;1.149;1.036;575;185;2;21.417
13/08/2024;LÍNEA A;16.734;51.167;64.527;56.630;34.054;27.782;24.127;26.040;29.549;28.856;34.295;36.930;63.395;86.111;57.382;32.609;21.537;17.685;8.871;27;718.308
13/08/2024;LÍNEA B;3.052;8.560;9.329;8.688;5.494;4.762;4.207;4.323;5.386;4.575;4.787;5.463;7.985;11.261;7.257;4.236;3.551;2.653;1.215;4;106.788
13/08/2024;LÍNEA H;230;621;507;273;173;146;95;103;139;96;60;74;95;65;23;27;35;10;1;;2.773
13/08/2024;LÍNEA J;1.492;2.526;2.347;2.246;1.331;906;703;786;794;675;546;549;701;570;445;309;247;132;34;;17.339
13/08/2024;LÍNEA K;2.346;2.820;2.653;2.221;1.603;1.192;1.036;1.102;1.381;912;793;756;1.033;1.013;642;469;472;226;82;;22.752
13/08/2024;LÍNEA L;;;;;;120;142;170;224;146;159;167;131;170;2;;;;;;1.431
13/08/2024;LÍNEA M;377;1.068;960;679;439;302;288;344;405;310;417;493;752;1.035;1.119;887;519;316;310;42;11.062
13/08/2024;LÍNEA O;301;1.778;1.953;2.006;1.131;1.314;839;1.084;1.188;1.258;1.079;1.224;1.590;1.941;1.515;1.284;865;1.131;326;10;23.817
13/08/2024;LÍNEA P;1.331;3.461;3.260;2.275;1.231;920;782;1.285;1.230;788;640;719;794;1.311;699;413;599;524;98;1;22.361
13/08/2024;LÍNEA T-A;1.431;4.938;5.137;5.148;3.203;2.700;2.320;2.747;3.435;2.758;2.897;3.444;4.706;5.884;5.463;3.380;2.540;2.065;1.132;41;65.369
14/08/2024;LÍNEA 1;3.005;9.027;11.128;10.189;6.354;5.187;4.262;4.815;5.172;5.094;5.229;6.005;8.463;10.590;8.548;5.196;3.588;2.565;947;30;115.394
14/08/2024;LÍNEA 2;209;948;1.076;1.085;895;875;972;1.025;1.182;1.103;1.164;1.376;1.968;2.121;1.912;1.267;921;565;195;6;20.865
14/08/2024;LÍNEA A;17.049;50.813;63.888;56.745;33.408;28.101;24.157;26.314;30.302;28.897;33.758;37.380;62.775;74.347;60.826;33.732;21.697;18.390;9.421;54;712.054
14/08/2024;LÍNEA B;3.082;8.523;9.540;8.531;5.436;4.751;4.031;4.641;5.194;4.670;4.696;5.473;6.845;10.907;7.326;4.275;3.569;2.829;1.371;9;105.699
14/08/2024;LÍNEA H;206;645;474;266;171;126;97;140;110;92;55;51;91;66;55;23;29;10;5;;2.712
14/08/2024;LÍNEA J;1.525;2.474;2.471;2.191;1.332;1.021;736;846;799;712;490;538;530;635;420;319;245;98;30;1;17.413
14/08/2024;LÍNEA K;2.340;2.792;2.630;2.262;1.622;1.220;972;1.054;1.354;849;811;736;1.067;1.009;708;455;524;248;72;;22.725
14/08/2024;LÍNEA L;;;;;1;91;92;105;148;153;127;139;169;162;;;;;;;1.187
14/08/2024;LÍNEA M;362;1.067;978;689;439;317;286;314;457;314;395;437;708;961;1.114;984;512;385;341;62;11.122
14/08/2024;LÍNEA O;284;1.809;1.891;2.130;1.265;1.325;950;1.190;1.109;1.200;1.039;1.322;1.472;1.938;1.667;1.191;977;1.097;362;11;24.229
14/08/2024;LÍNEA P;1.340;3.362;3.177;2.269;1.251;892;714;1.295;1.181;827;634;653;869;1.308;592;407;587;535;131;1;22.025
14/08/2024;LÍNEA T-A;1.433;4.862;5.145;5.078;3.148;2.852;2.304;2.847;3.509;2.911;2.965;3.307;4.421;5.576;5.601;3.661;2.607;2.218;1.247;52;65.744
15/08/2024;LÍNEA 1;3.017;8.817;10.953;10.033;6.217;5.321;4.171;4.859;5.036;4.900;5.159;6.028;8.648;10.611;7.630;5.033;3.699;2.871;1.522;51;114.576
15/08/2024;LÍNEA 2;217;916;1.120;1.098;909;896;949;1.113;1.128;1.046;1.189;1.387;1.913;1.969;1.648;1.291;1.025;672;219;7;20.712
15/08/2024;LÍNEA A;16.936;50.458;63.955;55.131;33.264;29.148;24.947;26.442;29.950;29.213;34.324;37.975;62.304;81.691;59.280;35.151;23.748;19.159;10.276;70;723.422
15/08/2024;LÍNEA B;3.158;8.351;8.993;8.242;5.342;4.798;4.172;4.348;5.026;4.495;4.439;5.343;7.749;11.041;7.421;4.739;3.755;2.866;1.403;9;105.690
15/08/2024;LÍNEA H;240;643;492;235;175;127;121;133;98;97;56;75;92;69;65;41;41;15;1;;2.816
15/08/2024;LÍNEA J;1.475;2.524;2.456;2.171;1.358;976;732;810;845;615;491;596;615;693;487;347;271;135;45;;17.642
15/08/2024;LÍNEA K;2.334;2.845;2.688;2.245;1.694;1.335;1.036;1.013;1.370;937;756;795;1.073;1.072;761;506;555;271;92;;23.378
15/08/2024;LÍNEA L;;;;;;83;80;99;189;133;104;126;127;136;;;;;;;1.077
15/08/2024;LÍNEA M;369;1.030;996;666;425;337;286;328;398;308;352;514;698;936;1.090;939;534;418;335;57;11.016
15/08/2024;LÍNEA O;285;1.787;1.788;2.250;1.041;1.268;902;1.150;1.123;1.205;959;1.157;1.642;1.900;1.477;1.106;1.012;1.062;262;9;23.385
15/08/2024;LÍNEA P;1.369;3.324;3.233;2.216;1.307;1.000;885;1.272;1.216;770;822;792;917;1.060;681;452;593;364;128;1;22.402
15/08/2024;LÍNEA T-A;1.416;4.845;5.207;5.049;3.139;2.832;2.410;2.866;3.351;2.989;2.956;3.455;4.507;5.940;5.341;3.487;2.625;2.302;1.315;64;66.096
16/08/2024;LÍNEA 1;2.927;8.238;10.450;9.746;6.501;5.282;4.575;5.058;5.241;5.314;5.850;6.799;8.891;9.873;7.432;4.929;3.578;2.900;1.749;61;115.394
16/08/2024;LÍNEA 2;191;853;1.026;1.101;878;931;1.009;1.150;1.152;1.089;1.328;1.542;1.903;1.902;1.726;1.275;921;716;294;8;20.995
16/08/2024;LÍNEA A;16.593;46.747;60.553;55.309;34.170;28.987;25.532;27.490;31.735;31.391;38.462;46.180;67.721;74.527;55.434;36.376;24.277;20.847;11.663;112;734.106
16/08/2024;LÍNEA B;3.002;7.764;8.986;8.493;5.377;4.597;4.187;4.570;5.445;4.979;5.207;6.507;8.322;10.056;7.211;4.721;3.885;2.818;1.466;16;107.609
16/08/2024;LÍNEA H;220;551;489;315;190;139;121;145;117;96;81;63;102;110;65;47;35;19;9;;2.914
16/08/2024;LÍNEA J;1.496;2.393;2.207;2.087;1.407;1.012;822;785;875;769;607;702;752;617;591;432;368;179;72;3;18.176
16/08/2024;LÍNEA K;2.342;2.782;2.627;2.266;1.686;1.414;1.384;1.240;1.400;1.038;855;944;1.063;1.099;881;635;626;365;134;1;24.782
16/08/2024;LÍNEA L;;;;;;124;89;116;152;132;123;102;115;166;;;;;;;1.119
16/08/2024;LÍNEA M;355;879;943;688;454;322;297;322;422;366;353;591;822;975;1.037;832;547;571;324;100;11.200
16/08/2024;LÍNEA O;275;1.529;1.655;1.925;1.352;1.263;932;1.006;1.010;1.106;1.030;1.110;1.484;1.628;1.244;1.062;792;938;388;20;21.749
16/08/2024;LÍNEA P;1.256;3.050;2.899;2.243;1.316;961;886;1.377;1.079;772;635;768;1.026;1.133;810;570;651;482;202;3;22.119
16/08/2024;LÍNEA T-A;1.403;4.202;4.856;4.952;3.143;2.674;2.333;2.734;3.283;2.955;3.051;3.641;4.725;5.537;4.863;3.592;2.628;2.395;1.457;88;64.512
17/08/2024;LÍNEA 1;2.110;4.705;5.931;6.758;4.900;4.445;4.457;4.712;6.348;6.097;5.783;5.054;4.848;4.424;3.941;3.421;2.504;2.261;1.281;80;84.060
17/08/2024;LÍNEA 2;141;535;630;766;682;698;810;1.051;1.490;1.283;1.083;1.061;1.097;1.164;1.058;822;597;454;203;7;15.632
17/08/2024;LÍNEA A;12.482;27.896;34.658;34.830;25.582;24.048;24.840;29.722;45.442;44.750;40.058;36.856;35.273;32.638;31.107;24.000;18.040;16.099;8.342;101;546.764
17/08/2024;LÍNEA B;2.303;4.543;5.208;5.356;4.188;4.308;4.381;4.964;6.634;6.408;6.323;5.553;5.420;5.008;4.227;3.196;2.606;2.008;1.190;13;83.837
17/08/2024;LÍNEA H;157;399;360;257;180;138;124;139;138;123;62;85;98;65;64;58;28;35;11;;2.521
17/08/2024;LÍNEA J;989;1.612;1.849;1.690;1.246;1.055;979;995;915;853;751;801;804;660;586;562;410;315;119;6;17.197
17/08/2024;LÍNEA K;1.619;2.408;2.511;2.020;1.518;1.293;1.309;1.304;1.445;1.240;1.069;1.073;1.247;1.176;911;721;618;491;241;4;24.218
17/08/2024;LÍNEA L;;;;;;221;269;253;272;301;257;242;302;337;;;;;;;2.454
17/08/2024;LÍNEA M;248;609;701;580;374;319;371;393;537;759;242;650;642;543;581;502;440;365;331;49;9.236
17/08/2024;LÍNEA O;191;877;1.005;1.334;744;772;663;1.017;914;946;776;628;650;682;574;494;421;403;195;13;13.299
17/08/2024;LÍNEA P;881;1.795;1.884;1.661;1.148;964;884;957;1.013;834;774;790;835;669;603;582;487;425;236;6;17.428
17/08/2024;LÍNEA T-A;1.019;2.622;3.380;3.717;2.610;2.329;2.488;2.908;3.806;3.878;627;3.788;3.265;2.942;3.012;2.256;1.811;1.640;1.273;98;49.469
18/08/2024;LÍNEA 1;493;2.022;2.334;2.174;2.035;2.419;2.555;2.441;2.556;2.700;2.692;2.672;3.035;3.116;2.879;2.155;2.183;1.761;306;;42.528
18/08/2024;LÍNEA 2;16;189;210;291;229;301;526;374;513;565;437;390;452;528;524;436;322;255;31;;6.589
18/08/2024;LÍNEA A;3.957;12.008;14.254;12.764;12.106;13.424;15.019;14.662;15.500;17.019;18.156;17.576;19.737;22.006;20.500;16.358;15.762;12.948;1.016;;274.772
18/08/2024;LÍNEA B;727;1.802;2.058;2.137;2.283;2.573;2.874;2.969;2.973;3.328;3.322;3.214;3.293;3.834;3.476;2.668;2.173;1.629;184;;47.517
18/08/2024;LÍNEA H;;;;;;145;129;116;96;84;97;90;126;71;85;63;36;33;3;;1.174
18/08/2024;LÍNEA J;;;;;51;963;847;762;678;650;622;697;692;636;586;525;468;263;4;;8.444
18/08/2024;LÍNEA K;;;;;647;1.096;1.073;1.097;1.170;1.110;1.098;1.093;1.384;1.376;965;711;627;398;27;;13.872
18/08/2024;LÍNEA L;;;;;122;349;466;521;484;432;488;484;474;599;18;;;;;;4.437
18/08/2024;LÍNEA M;;;;;10;297;304;343;328;329;398;433;385;433;494;483;392;302;224;;5.155
18/08/2024;LÍNEA O;28;381;367;327;286;284;384;314;283;344;426;374;430;507;448;454;412;312;56;;6.417
18/08/2024;LÍNEA P;;;;;7;885;618;711;689;658;734;714;716;591;613;455;452;287;17;;8.147
18/08/2024;LÍNEA T-A;181;1.001;1.259;1.041;1.084;1.438;1.699;1.603;1.647;1.677;1.847;1.779;2.072;2.216;2.168;1.806;1.603;1.453;366;;27.940
19/08/2024;LÍNEA 1;565;1.750;1.935;1.911;1.567;1.875;1.977;1.899;2.073;2.342;2.564;2.488;2.633;2.662;2.634;2.290;2.149;1.668;213;;37.195
19/08/2024;LÍNEA 2;22;218;194;289;154;298;297;322;320;341;343;375;408;439;397;459;316;187;23;;5.402
19/08/2024;LÍNEA A;4.236;11.462;13.305;10.925;9.526;10.310;11.712;11.715;13.123;14.231;17.754;17.421;19.025;20.832;19.751;16.346;15.493;12.014;822;;250.003
19/08/2024;LÍNEA B;786;1.601;1.987;1.801;1.828;1.933;2.196;2.164;2.296;2.567;2.710;2.555;2.832;2.949;2.777;2.303;1.914;1.380;142;;38.721
19/08/2024;LÍNEA H;;;;;3;111;92;94;88;74;82;76;110;79;86;80;39;13;1;;1.028
19/08/2024;LÍNEA J;;;;;47;648;599;668;655;516;541;590;632;581;617;503;421;155;5;;7.178
19/08/2024;LÍNEA K;;;;;479;823;911;897;937;926;900;1.015;1.257;1.300;805;670;611;248;8;;11.787
19/08/2024;LÍNEA L;;;;;136;275;376;392;375;343;323;347;446;429;;;;;;;3.442
19/08/2024;LÍNEA M;;;;;3;224;248;237;267;274;359;396;454;408;422;442;337;278;132;;4.481
19/08/2024;LÍNEA O;33;382;356;259;228;207;314;300;308;331;408;319;395;455;409;388;394;283;49;;5.818
19/08/2024;LÍNEA P;;;;;50;613;521;514;548;511;529;596;615;636;510;546;437;286;7;;6.919
19/08/2024;LÍNEA T-A;190;789;967;919;829;1.053;1.232;1.257;1.252;1.371;1.680;1.826;1.746;1.844;1.911;1.710;1.631;1.259;283;;23.749
20/08/2024;LÍNEA 1;3.028;9.031;10.802;10.510;6.588;5.546;4.448;5.150;5.301;5.225;5.579;6.154;8.903;11.054;8.028;4.736;3.411;2.627;1.421;50;117.592
20/08/2024;LÍNEA 2;187;915;1.007;1.208;1.008;1.020;1.208;1.116;1.233;1.078;1.315;1.461;2.112;2.168;1.855;1.280;953;578;204;2;21.908
20/08/2024;LÍNEA A;17.759;51.395;64.069;57.283;35.322;29.109;26.094;27.313;31.427;30.397;34.806;38.253;63.485;84.744;59.538;32.776;21.599;17.775;9.018;37;732.199
20/08/2024;LÍNEA B;3.277;8.566;9.524;8.632;5.369;4.762;4.010;4.594;5.378;4.705;4.926;5.444;8.182;11.311;7.608;4.198;3.666;2.567;1.186;10;107.915
20/08/2024;LÍNEA H;233;645;422;194;186;122;78;150;112;100;79;63;92;63;52;33;34;14;3;1;2.676
20/08/2024;LÍNEA J;1.558;2.475;2.352;2.236;1.343;935;777;820;844;727;518;542;713;590;413;327;251;110;42;;17.573
20/08/2024;LÍNEA K;2.356;2.769;2.665;2.269;1.692;1.252;1.099;1.131;1.362;922;776;708;969;945;652;512;567;245;88;1;22.980
20/08/2024;LÍNEA M;410;1.042;662;450;452;339;343;343;426;369;387;477;699;1.047;1.220;827;499;410;290;57;10.749
20/08/2024;LÍNEA O;296;1.850;1.747;1.972;1.312;1.260;859;1.087;1.104;1.231;1.020;1.181;1.456;2.049;1.535;1.238;890;1.031;340;14;23.472
20/08/2024;LÍNEA P;1.372;3.431;3.265;2.212;1.267;932;820;1.316;1.221;738;658;678;900;1.368;692;436;589;482;102;;22.479
20/08/2024;LÍNEA T-A;1.483;4.746;3.180;3.574;3.173;2.748;2.496;2.826;3.460;2.882;2.893;3.384;4.689;5.931;5.416;3.444;2.599;2.131;1.200;37;62.292
21/08/2024;LÍNEA 1;3.017;9.098;10.812;10.327;6.425;5.379;4.340;4.880;5.139;5.100;5.432;6.036;8.696;11.136;8.094;5.035;3.483;2.845;1.449;39;116.762
21/08/2024;LÍNEA 2;188;934;1.122;1.136;917;971;1.019;1.142;1.172;1.064;1.266;1.456;2.083;2.080;1.901;1.222;933;578;246;7;21.437
21/08/2024;LÍNEA A;16.676;51.174;64.659;56.432;34.358;28.997;24.958;26.556;29.852;29.226;33.899;37.746;63.599;84.726;58.333;33.057;22.071;18.598;9.138;64;724.119
21/08/2024;LÍNEA B;3.087;8.476;9.323;8.659;5.512;4.775;4.087;4.692;5.134;4.769;4.748;5.397;8.069;11.215;7.349;4.362;3.701;2.782;1.372;6;107.515
21/08/2024;LÍNEA H;185;624;481;273;179;128;118;139;136;81;56;54;81;97;52;26;39;9;8;;2.766
21/08/2024;LÍNEA J;1.538;2.505;2.372;2.132;1.346;988;772;803;898;648;516;532;682;598;392;293;272;132;33;1;17.453
21/08/2024;LÍNEA K;2.402;2.839;2.683;2.244;1.580;1.264;1.023;1.070;1.271;909;694;780;1.058;1.021;709;554;520;271;82;2;22.976
21/08/2024;LÍNEA L;;;;;;90;83;110;132;81;93;129;89;106;;;;;;;913
21/08/2024;LÍNEA M;395;1.017;966;699;422;279;267;327;435;334;350;491;731;974;1.152;935;520;400;318;57;11.069
21/08/2024;LÍNEA O;258;1.724;1.860;2.228;1.194;1.202;989;1.167;1.129;1.263;992;1.275;1.403;1.684;1.344;1.291;977;1.102;342;9;23.433
21/08/2024;LÍNEA P;1.319;3.364;3.199;2.267;1.255;970;720;1.367;1.184;806;687;628;955;1.272;699;442;585;508;122;;22.349
21/08/2024;LÍNEA T-A;1.492;4.720;5.134;5.097;3.160;2.929;2.323;2.765;3.460;2.817;2.916;3.354;4.723;5.909;5.503;3.280;2.511;2.339;1.244;47;65.723
22/08/2024;LÍNEA 1;3.097;8.974;10.833;10.029;6.342;5.357;4.221;4.853;5.280;4.958;5.472;5.998;8.703;11.053;7.786;4.859;3.658;2.720;1.480;42;115.715
22/08/2024;LÍNEA 2;206;935;1.083;1.186;860;880;1.012;1.064;1.194;1.008;1.190;1.372;1.998;2.111;1.765;1.166;957;618;213;6;20.824
22/08/2024;LÍNEA A;17.002;50.341;63.988;55.817;33.673;28.313;24.502;26.287;30.393;29.350;33.581;37.457;61.922;83.965;57.927;32.877;22.208;18.453;9.084;75;717.215
22/08/2024;LÍNEA B;3.231;8.428;9.109;8.478;5.395;4.725;3.957;4.465;5.227;4.548;4.566;5.460;7.884;11.290;7.228;4.335;3.676;2.852;1.203;8;106.065
22/08/2024;LÍNEA H;213;650;493;275;178;117;99;136;125;83;59;58;98;63;37;23;30;11;3;;2.751
22/08/2024;LÍNEA J;1.499;2.477;2.419;2.183;1.338;942;688;783;885;637;499;543;654;629;475;290;260;131;32;1;17.365
22/08/2024;LÍNEA K;2.398;2.817;2.694;2.196;1.619;1.314;948;1.110;1.347;988;642;766;1.083;880;677;470;522;231;94;;22.796
22/08/2024;LÍNEA L;;;;;;79;84;78;125;109;99;101;118;96;;;;;;;889
22/08/2024;LÍNEA M;409;991;934;698;415;323;317;331;463;321;369;513;711;1.008;1.311;826;510;402;350;51;11.253
22/08/2024;LÍNEA O;295;1.719;1.793;2.202;1.016;990;820;1.059;988;1.124;1.046;1.244;1.520;1.742;1.663;1.081;967;1.063;281;14;22.627
22/08/2024;LÍNEA P;1.410;3.211;3.190;2.304;1.322;968;699;982;1.170;789;595;665;875;1.166;685;410;548;363;114;6;21.472
22/08/2024;LÍNEA T-A;1.433;4.779;5.045;5.158;3.088;2.688;2.378;2.829;3.524;2.951;2.926;3.436;4.808;5.846;5.449;3.261;2.568;2.216;1.251;52;65.686
23/08/2024;LÍNEA 1;3.015;8.657;10.508;9.724;6.365;5.219;4.464;4.982;5.222;5.214;5.865;6.515;8.874;10.257;7.615;4.903;3.477;2.854;1.652;67;115.449
23/08/2024;LÍNEA 2;206;876;1.086;1.126;884;871;1.007;1.078;1.168;1.096;1.221;1.511;1.860;2.068;1.762;1.253;896;660;259;10;20.898
23/08/2024;LÍNEA A;16.721;48.693;62.985;54.424;33.427;28.412;24.832;26.448;30.410;30.477;37.155;43.941;65.695;76.567;54.172;33.931;22.618;19.690;10.300;71;720.969
23/08/2024;LÍNEA B;3.074;8.197;9.187;8.226;5.461;4.680;4.038;4.447;5.218;4.764;4.853;6.044;8.633;10.203;7.104;4.312;3.345;2.937;1.372;12;106.107
23/08/2024;LÍNEA H;213;596;523;266;198;110;108;138;121;98;75;78;99;95;50;43;35;21;7;;2.874
23/08/2024;LÍNEA J;1.497;2.505;2.316;2.105;1.361;993;822;804;867;699;606;570;766;658;480;334;309;166;59;;17.917
23/08/2024;LÍNEA K;2.326;2.806;2.701;2.230;1.682;1.290;1.070;1.090;1.449;1.071;867;867;1.075;1.021;687;522;619;279;94;6;23.752
23/08/2024;LÍNEA L;;;;;;93;119;168;162;150;163;127;110;157;;;;;;;1.249
23/08/2024;LÍNEA M;372;999;965;701;431;329;309;295;429;345;403;531;838;1.000;989;847;543;413;345;58;11.142
23/08/2024;LÍNEA O;280;1.609;1.636;2.083;1.138;1.272;855;1.031;1.131;1.093;1.159;1.184;1.551;1.840;1.453;979;865;988;319;22;22.488
23/08/2024;LÍNEA P;1.264;3.255;3.049;2.270;1.298;987;754;1.184;1.101;855;743;697;1.006;1.161;719;511;641;447;101;2;22.045
23/08/2024;LÍNEA T-A;1.462;4.465;5.004;4.947;3.177;2.762;2.418;2.650;3.322;2.786;3.025;3.525;4.741;5.740;4.965;3.494;2.454;2.254;1.429;85;64.705
24/08/2024;LÍNEA 1;2.187;5.024;6.087;7.106;4.935;4.434;4.360;4.710;6.567;6.258;5.923;4.977;4.870;4.408;4.041;3.405;2.603;2.179;1.234;72;85.380
24/08/2024;LÍNEA 2;135;562;686;815;714;695;814;1.030;1.354;1.358;1.228;1.139;1.029;1.109;1.052;755;483;486;195;9;15.648
24/08/2024;LÍNEA A;12.548;29.565;35.749;36.081;25.851;23.570;23.913;28.458;45.033;44.787;41.457;35.244;32.754;30.699;29.352;22.708;16.426;14.726;8.007;92;537.020
24/08/2024;LÍNEA B;2.388;4.836;5.207;5.489;4.207;3.981;4.384;4.626;6.773;6.419;5.688;4.915;4.729;4.339;3.875;3.041;2.399;1.874;1.042;11;80.223
24/08/2024;LÍNEA H;147;433;359;262;165;142;138;104;131;109;100;66;86;84;81;45;49;45;9;;2.555
24/08/2024;LÍNEA J;1.048;1.841;1.969;1.739;1.182;957;815;867;870;755;438;720;619;559;492;376;350;237;78;1;15.913
24/08/2024;LÍNEA K;1.826;2.576;2.635;1.994;1.531;1.255;1.187;1.140;1.216;1.106;922;906;1.048;999;700;572;558;419;184;;22.774
24/08/2024;LÍNEA L;;;;;;157;185;174;206;169;235;190;213;224;;;;;;;1.753
24/08/2024;LÍNEA M;280;647;658;595;368;341;324;389;537;720;735;664;610;526;568;543;387;358;302;71;9.623
24/08/2024;LÍNEA O;237;875;1.005;1.377;794;880;727;887;1.072;1.117;776;741;685;716;571;479;396;391;192;12;13.930
24/08/2024;LÍNEA P;959;1.887;1.995;1.790;1.150;922;806;885;974;909;730;755;672;574;520;456;454;319;147;2;16.906
24/08/2024;LÍNEA T-A;1.071;2.863;3.297;3.779;2.576;2.247;2.461;2.761;3.754;3.843;3.584;3.194;3.115;2.919;2.942;2.231;1.836;1.679;1.174;72;51.398
25/08/2024;LÍNEA 1;551;1.638;2.172;2.104;1.961;2.221;2.614;2.313;2.435;2.754;2.890;2.537;2.661;2.758;2.757;2.264;2.237;1.663;192;;40.722
25/08/2024;LÍNEA 2;17;192;208;292;218;285;556;363;476;544;474;407;440;503;504;425;398;210;34;;6.546
25/08/2024;LÍNEA A;3.990;11.330;14.319;12.077;10.652;11.392;13.148;13.114;15.172;15.931;18.167;16.413;17.682;19.527;18.509;15.380;14.725;10.541;659;;252.728
25/08/2024;LÍNEA B;725;1.711;2.074;2.027;1.764;2.316;2.576;3.006;3.148;3.132;3.042;2.684;2.876;2.885;2.916;2.525;2.145;1.461;109;;43.122
25/08/2024;LÍNEA H;;;;;;94;95;106;110;71;67;65;61;109;81;62;56;20;;;997
25/08/2024;LÍNEA K;;;1;;509;931;971;871;896;956;934;991;1.093;1.084;948;803;645;328;22;;11.983
25/08/2024;LÍNEA L;;;;;59;154;253;262;294;251;293;257;325;359;;;;;;;2.507
25/08/2024;LÍNEA M;;;;;12;261;238;255;306;304;381;351;375;340;458;416;396;299;124;;4.516
25/08/2024;LÍNEA O;26;393;446;395;302;336;371;469;555;446;394;371;444;439;441;413;409;286;36;;6.972
25/08/2024;LÍNEA P;;;;;29;626;550;585;681;580;643;590;623;550;607;502;506;261;11;;7.344
25/08/2024;LÍNEA T-A;176;743;1.097;1.144;1.013;1.340;1.373;1.410;1.439;1.668;1.844;1.630;1.800;1.756;1.908;1.717;1.667;1.173;301;;25.199
26/08/2024;LÍNEA 1;3.064;8.761;10.579;9.483;5.914;5.109;4.291;4.879;4.816;4.985;5.350;5.902;8.356;10.900;7.593;4.534;3.129;2.567;1.271;27;111.510
