Día;Línea de Servicio;Hora de operación;;;;;;;;;;;;;;;;;;;;
;;4:00:00 a/ m/;5:00:00 a/ m/;6:00:00 a/ m/;7:00:00 a/ m/;8:00:00 a/ m/;9:00:00 a/ m/;10:00:00 a/ m/;11:00:00 a/ m/;12:00:00 p/ m/;1:00:00 p/ m/;2:00:00 p/ m/;3:00:00 p/ m/;4:00:00 p/ m/;5:00:00 p/ m/;6:00:00 p/ m/;7:00:00 p/ m/;8:00:00 p/ m/;9:00:00 p/ m/;10:00:00 p/ m/;11:00:00 p/ m/;Total general (Número de pasajeros)
11/01/2024;LÍNEA J;1.104;2.190;2.103;1.653;1.186;880;741;673;689;535;452;505;632;575;432;361;328;174;43;;15.256
11/01/2024;LÍNEA K;1.891;2.776;2.549;2.008;1.617;1.338;1.168;1.083;1.238;901;914;819;1.004;1.016;631;557;567;268;91;;22.436
11/01/2024;LÍNEA L;;;;;;214;311;288;320;277;324;273;313;275;;;;;;;2.595
11/01/2024;LÍNEA M;313;731;740;523;364;283;251;251;334;306;286;462;573;798;1.091;720;430;305;300;29;9.090
11/01/2024;LÍNEA O;229;815;1.150;963;676;516;432;445;461;479;473;636;700;1.116;802;538;395;406;187;8,00;11.427
11/01/2024;LÍNEA P;1.186;2.626;2.559;1.936;1.143;835;718;666;749;567;642;543;715;673;526;415;384;249;130;;17.262
11/01/2024;LÍNEA T-A;1.128;2.808;3.559;2.951;2.433;1.992;1.695;1.822;2.029;1.947;2.187;2.360;3.334;4.359;4.112;2.559;1.741;1.320;991;27;45.354
12/01/2024;LÍNEA 1;2.486;6.254;8.320;7.626;5.016;4.508;3.852;3.838;3.858;3.828;4.651;5.270;7.057;8.274;5.869;4.077;2.737;2.301;1.376;62;91.260
12/01/2024;LÍNEA 2;155;732;913;932;828;839;844;961;935;973;1.145;1.381;1.785;1.952;1.534;1.083;588;433;214;3;18.230
12/01/2024;LÍNEA A;13.728;35.280;49.164;40.283;26.762;23.510;21.636;22.022;24.208;24.363;31.000;35.927;52.474;64.043;46.301;28.212;18.021;15.403;9.392;70,00;581.799
12/01/2024;LÍNEA B;2.549;5.866;7.019;6.071;4.302;3.804;3.711;3.756;3.843;3.667;4.284;4.894;6.346;8.135;5.759;3.464;2.518;1.878;1.087;7;82.960
12/01/2024;LÍNEA H;194,00;476,00;369,00;239,00;138;100;89;106;66;74;65;52;80;79;36,00;36,00;38,00;12,00;3,00;;2.252
